SeqNo,Checking,Duration,CreditHistory,Purpose,CreditAmount,Savings,Employment,InstallmentRate,GenderMarital,OtherDebtors,YearsAtResidence,RealEstate,Age,OtherInstallment,Housing,ExistingCredits,Job,NumLiable,Phone,Foreign,Credit
405,A12,18,Late Payment,car (new),2899,A65,>= 7 years,4,A93,A101,4,A123,43,A143,A152,1,A173,2,A191,A201,Good
406,A12,24,Up To Date,radio/television,2039,A61,< 1 year,1,A94,A101,1,A122,22,A143,A152,1,A173,1,A192,A201,Bad
407,A14,24,Critical Account,car (used),2197,A65,4 - 7 years,4,A93,A101,4,A123,43,A143,A152,2,A173,2,A192,A201,Good
408,A11,15,Up To Date,radio/television,1053,A61,< 1 year,4,A94,A101,2,A121,27,A143,A152,1,A173,1,A191,A202,Good
409,A14,24,Up To Date,radio/television,3235,A63,>= 7 years,3,A91,A101,2,A123,26,A143,A152,1,A174,1,A192,A201,Good
410,A13,12,Critical Account,car (new),939,A63,4 - 7 years,4,A94,A101,2,A121,28,A143,A152,3,A173,1,A192,A201,Bad
411,A12,24,Up To Date,radio/television,1967,A61,>= 7 years,4,A92,A101,4,A123,20,A143,A152,1,A173,1,A192,A201,Good
412,A14,33,Critical Account,car (used),7253,A61,4 - 7 years,3,A93,A101,2,A123,35,A143,A152,2,A174,1,A192,A201,Good
413,A14,12,Critical Account,business,2292,A61,unemployed,4,A93,A101,2,A123,42,A142,A152,2,A174,1,A192,A201,Bad
414,A14,10,Up To Date,car (new),1597,A63,1 - 4 years,3,A93,A101,2,A124,40,A143,A151,1,A172,2,A191,A202,Good
415,A11,24,Up To Date,car (new),1381,A65,1 - 4 years,4,A92,A101,2,A122,35,A143,A152,1,A173,1,A191,A201,Bad
416,A14,36,Critical Account,car (used),5842,A61,>= 7 years,2,A93,A101,2,A122,35,A143,A152,2,A173,2,A192,A201,Good
417,A11,12,Up To Date,car (new),2579,A61,< 1 year,4,A93,A101,1,A121,33,A143,A152,1,A172,2,A191,A201,Bad
418,A11,18,Late Payment,education,8471,A65,1 - 4 years,1,A92,A101,2,A123,23,A143,A151,2,A173,1,A192,A201,Good
419,A14,21,Up To Date,car (new),2782,A63,4 - 7 years,1,A92,A101,2,A123,31,A141,A152,1,A174,1,A191,A201,Good
420,A12,18,Up To Date,car (new),1042,A65,1 - 4 years,4,A92,A101,2,A122,33,A143,A152,1,A173,1,A191,A201,Bad
421,A14,15,Up To Date,car (new),3186,A64,4 - 7 years,2,A92,A101,3,A123,20,A143,A151,1,A173,1,A191,A201,Good
422,A12,12,Up To Date,car (used),2028,A65,1 - 4 years,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,Good
423,A12,12,Critical Account,car (new),958,A61,4 - 7 years,2,A93,A101,3,A121,47,A143,A152,2,A172,2,A191,A201,Good
424,A14,21,Late Payment,furniture/equipment,1591,A62,4 - 7 years,4,A93,A101,3,A121,34,A143,A152,2,A174,1,A191,A201,Good
425,A12,12,Up To Date,furniture/equipment,2762,A65,>= 7 years,1,A92,A101,2,A122,25,A141,A152,1,A173,1,A192,A201,Bad
426,A12,18,Up To Date,car (used),2779,A61,1 - 4 years,1,A94,A101,3,A123,21,A143,A151,1,A173,1,A192,A201,Good
427,A14,28,Critical Account,radio/television,2743,A61,>= 7 years,4,A93,A101,2,A123,29,A143,A152,2,A173,1,A191,A201,Good
428,A14,18,Critical Account,radio/television,1149,A64,1 - 4 years,4,A93,A101,3,A121,46,A143,A152,2,A173,1,A191,A201,Good
429,A14,9,Up To Date,furniture/equipment,1313,A61,>= 7 years,1,A93,A101,4,A123,20,A143,A152,1,A173,1,A191,A201,Good
430,A11,18,Critical Account,repairs,1190,A61,unemployed,2,A92,A101,4,A124,55,A143,A153,3,A171,2,A191,A201,Bad
431,A14,5,Up To Date,business,3448,A61,4 - 7 years,1,A93,A101,4,A121,74,A143,A152,1,A172,1,A191,A201,Good
432,A12,24,Up To Date,others,11328,A61,1 - 4 years,2,A93,A102,3,A123,29,A141,A152,2,A174,1,A192,A201,Bad
433,A11,6,Critical Account,furniture/equipment,1872,A61,unemployed,4,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,Good
434,A14,24,Critical Account,repairs,2058,A61,1 - 4 years,4,A91,A101,2,A121,33,A143,A152,2,A173,1,A192,A201,Good
435,A11,9,Up To Date,furniture/equipment,2136,A61,1 - 4 years,3,A93,A101,2,A121,25,A143,A152,1,A173,1,A191,A201,Good
436,A12,12,Up To Date,radio/television,1484,A65,1 - 4 years,2,A94,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,Bad
437,A14,6,Up To Date,repairs,660,A63,4 - 7 years,2,A94,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,Good
438,A14,24,Critical Account,car (new),1287,A64,>= 7 years,4,A92,A101,4,A121,37,A143,A152,2,A173,1,A192,A201,Good
439,A11,42,Critical Account,repairs,3394,A61,unemployed,4,A93,A102,4,A123,65,A143,A152,2,A171,1,A191,A201,Good
440,A13,12,All Paid This Bank,business,609,A61,< 1 year,4,A92,A101,1,A121,26,A143,A152,1,A171,1,A191,A201,Bad
441,A14,12,Up To Date,car (new),1884,A61,>= 7 years,4,A93,A101,4,A123,39,A143,A152,1,A174,1,A192,A201,Good
442,A11,12,Up To Date,furniture/equipment,1620,A61,1 - 4 years,2,A92,A102,3,A122,30,A143,A152,1,A173,1,A191,A201,Good
443,A12,20,Late Payment,others,2629,A61,1 - 4 years,2,A93,A101,3,A123,29,A141,A152,2,A173,1,A192,A201,Good
444,A14,12,Up To Date,education,719,A61,>= 7 years,4,A93,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,Bad
445,A12,48,Critical Account,furniture/equipment,5096,A61,1 - 4 years,2,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,Bad
446,A14,9,Critical Account,education,1244,A65,>= 7 years,4,A92,A101,4,A122,41,A143,A151,2,A172,1,A191,A201,Good
447,A11,36,Up To Date,car (new),1842,A61,< 1 year,4,A92,A101,4,A123,34,A143,A152,1,A173,1,A192,A201,Bad
448,A12,7,Up To Date,radio/television,2576,A61,1 - 4 years,2,A93,A103,2,A121,35,A143,A152,1,A173,1,A191,A201,Good
449,A13,12,Up To Date,furniture/equipment,1424,A65,>= 7 years,3,A92,A101,4,A121,55,A143,A152,1,A174,1,A192,A201,Good
450,A12,15,Late Payment,repairs,1512,A64,1 - 4 years,3,A94,A101,3,A122,61,A142,A152,2,A173,1,A191,A201,Bad
451,A14,36,Critical Account,car (used),11054,A65,1 - 4 years,4,A93,A101,2,A123,30,A143,A152,1,A174,1,A192,A201,Good
452,A14,6,Up To Date,radio/television,518,A61,1 - 4 years,3,A92,A101,1,A121,29,A143,A152,1,A173,1,A191,A201,Good
453,A14,12,All Paid,furniture/equipment,2759,A61,>= 7 years,2,A93,A101,4,A122,34,A143,A152,2,A173,1,A191,A201,Good
454,A14,24,Up To Date,car (used),2670,A61,>= 7 years,4,A93,A101,4,A123,35,A143,A152,1,A174,1,A192,A201,Good
455,A11,24,Up To Date,car (new),4817,A61,4 - 7 years,2,A93,A102,3,A122,31,A143,A152,1,A173,1,A192,A201,Bad
456,A14,24,Up To Date,car (used),2679,A61,< 1 year,4,A92,A101,1,A124,29,A143,A152,1,A174,1,A192,A201,Good
457,A11,11,Critical Account,car (new),3905,A61,1 - 4 years,2,A93,A101,2,A121,36,A143,A151,2,A173,2,A191,A201,Good
458,A11,12,Up To Date,car (used),3386,A61,>= 7 years,3,A93,A101,4,A124,35,A143,A153,1,A173,1,A192,A201,Bad
459,A11,6,Up To Date,domestic appliances,343,A61,< 1 year,4,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,Good
460,A14,18,Up To Date,radio/television,4594,A61,< 1 year,3,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,Good
461,A11,36,Up To Date,furniture/equipment,3620,A61,1 - 4 years,1,A93,A103,2,A122,37,A143,A152,1,A173,2,A191,A201,Good
462,A11,15,Up To Date,car (new),1721,A61,< 1 year,2,A93,A101,3,A121,36,A143,A152,1,A173,1,A191,A201,Good
463,A12,12,Up To Date,furniture/equipment,3017,A61,< 1 year,3,A92,A101,1,A121,34,A143,A151,1,A174,1,A191,A201,Good
464,A12,12,Up To Date,retraining,754,A65,>= 7 years,4,A93,A101,4,A122,38,A143,A152,2,A173,1,A191,A201,Good
465,A14,18,Up To Date,business,1950,A61,4 - 7 years,4,A93,A101,1,A123,34,A142,A152,2,A173,1,A192,A201,Good
466,A11,24,Up To Date,car (used),2924,A61,1 - 4 years,3,A93,A103,4,A124,63,A141,A152,1,A173,2,A192,A201,Good
467,A11,24,Late Payment,radio/television,1659,A61,< 1 year,4,A92,A101,2,A123,29,A143,A151,1,A172,1,A192,A201,Bad
468,A14,48,Late Payment,radio/television,7238,A65,>= 7 years,3,A93,A101,3,A123,32,A141,A152,2,A173,2,A191,A201,Good
469,A14,33,Late Payment,business,2764,A61,1 - 4 years,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A192,A201,Good
470,A14,24,Late Payment,car (used),4679,A61,4 - 7 years,3,A93,A101,3,A123,35,A143,A152,2,A172,1,A192,A201,Good
471,A12,24,Up To Date,radio/television,3092,A62,< 1 year,3,A94,A101,2,A123,22,A143,A151,1,A173,1,A192,A201,Bad
472,A11,6,Up To Date,education,448,A61,< 1 year,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A191,A201,Bad
473,A11,9,Up To Date,car (new),654,A61,1 - 4 years,4,A93,A101,3,A123,28,A143,A152,1,A172,1,A191,A201,Bad
474,A14,6,Up To Date,retraining,1238,A65,unemployed,4,A93,A101,4,A122,36,A143,A152,1,A174,2,A192,A201,Good
475,A12,18,Critical Account,radio/television,1245,A61,1 - 4 years,4,A94,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,Bad
476,A11,18,All Paid,furniture/equipment,3114,A61,< 1 year,1,A92,A101,4,A122,26,A143,A151,1,A173,1,A191,A201,Bad
477,A14,39,Up To Date,car (used),2569,A63,1 - 4 years,4,A93,A101,4,A123,24,A143,A152,1,A173,1,A191,A201,Good
478,A13,24,Up To Date,radio/television,5152,A61,4 - 7 years,4,A93,A101,2,A123,25,A141,A152,1,A173,1,A191,A201,Good
479,A12,12,Up To Date,business,1037,A62,4 - 7 years,3,A93,A101,4,A121,39,A143,A152,1,A172,1,A191,A201,Good
480,A11,15,Critical Account,furniture/equipment,1478,A61,>= 7 years,4,A93,A101,4,A123,44,A143,A152,2,A173,2,A192,A201,Good
481,A12,12,Critical Account,radio/television,3573,A61,1 - 4 years,1,A92,A101,1,A121,23,A143,A152,1,A172,1,A191,A201,Good
482,A12,24,Up To Date,car (new),1201,A61,< 1 year,4,A93,A101,1,A122,26,A143,A152,1,A173,1,A191,A201,Good
483,A11,30,Up To Date,furniture/equipment,3622,A64,>= 7 years,4,A92,A101,4,A122,57,A143,A151,2,A173,1,A192,A201,Good
484,A14,15,Late Payment,furniture/equipment,960,A64,4 - 7 years,3,A92,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,Good
485,A14,12,Critical Account,car (new),1163,A63,1 - 4 years,4,A93,A101,4,A121,44,A143,A152,1,A173,1,A192,A201,Good
486,A12,6,Late Payment,car (new),1209,A61,unemployed,4,A93,A101,4,A122,47,A143,A152,1,A174,1,A192,A201,Bad
487,A14,12,Up To Date,radio/television,3077,A61,1 - 4 years,2,A93,A101,4,A123,52,A143,A152,1,A173,1,A192,A201,Good
488,A14,24,Up To Date,car (new),3757,A61,>= 7 years,4,A92,A102,4,A124,62,A143,A153,1,A173,1,A192,A201,Good
489,A14,10,Up To Date,car (new),1418,A62,1 - 4 years,3,A93,A101,2,A121,35,A143,A151,1,A172,1,A191,A202,Good
490,A14,6,Up To Date,car (new),3518,A61,1 - 4 years,2,A93,A103,3,A122,26,A143,A151,1,A173,1,A191,A201,Good
491,A14,12,Critical Account,radio/television,1934,A61,>= 7 years,2,A93,A101,2,A124,26,A143,A152,2,A173,1,A191,A201,Good
492,A12,27,All Paid,business,8318,A61,>= 7 years,2,A92,A101,4,A124,42,A143,A153,2,A174,1,A192,A201,Bad
493,A14,6,Critical Account,radio/television,1237,A62,1 - 4 years,1,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,Good
494,A12,6,Up To Date,radio/television,368,A65,>= 7 years,4,A93,A101,4,A122,38,A143,A152,1,A173,1,A191,A201,Good
495,A11,12,Critical Account,car (new),2122,A61,1 - 4 years,3,A93,A101,2,A121,39,A143,A151,2,A172,2,A191,A202,Good
496,A11,24,Up To Date,furniture/equipment,2996,A65,1 - 4 years,2,A94,A101,4,A123,20,A143,A152,1,A173,1,A191,A201,Bad
497,A12,36,Up To Date,furniture/equipment,9034,A62,< 1 year,4,A93,A102,1,A124,29,A143,A151,1,A174,1,A192,A201,Bad
498,A14,24,Critical Account,furniture/equipment,1585,A61,4 - 7 years,4,A93,A101,3,A122,40,A143,A152,2,A173,1,A191,A201,Good
499,A12,18,Up To Date,radio/television,1301,A61,>= 7 years,4,A94,A103,2,A121,32,A143,A152,1,A172,1,A191,A201,Good
500,A13,6,Critical Account,car (new),1323,A62,>= 7 years,2,A91,A101,4,A123,28,A143,A152,2,A173,2,A192,A201,Good
501,A11,24,Up To Date,car (new),3123,A61,< 1 year,4,A92,A101,1,A122,27,A143,A152,1,A173,1,A191,A201,Bad
502,A11,36,Up To Date,car (used),5493,A61,>= 7 years,2,A93,A101,4,A124,42,A143,A153,1,A173,2,A191,A201,Good
503,A13,9,Up To Date,radio/television,1126,A62,>= 7 years,2,A91,A101,4,A121,49,A143,A152,1,A173,1,A191,A201,Good
504,A12,24,Critical Account,radio/television,1216,A62,< 1 year,4,A93,A101,4,A124,38,A141,A152,2,A173,2,A191,A201,Bad
505,A11,24,Up To Date,car (new),1207,A61,< 1 year,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,Bad
506,A14,10,Up To Date,car (new),1309,A65,1 - 4 years,4,A93,A103,4,A122,27,A143,A152,1,A172,1,A191,A201,Bad
507,A13,15,Critical Account,car (used),2360,A63,1 - 4 years,2,A93,A101,2,A123,36,A143,A152,1,A173,1,A192,A201,Good
508,A12,15,All Paid This Bank,car (new),6850,A62,unemployed,1,A93,A101,2,A122,34,A143,A152,1,A174,2,A192,A201,Bad
509,A14,24,Up To Date,radio/television,1413,A61,1 - 4 years,4,A94,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,Good
510,A14,39,Up To Date,car (used),8588,A62,>= 7 years,4,A93,A101,2,A123,45,A143,A152,1,A174,1,A192,A201,Good
511,A11,12,Up To Date,car (new),759,A61,4 - 7 years,4,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,Bad
512,A14,36,Up To Date,car (used),4686,A61,1 - 4 years,2,A93,A101,2,A124,32,A143,A153,1,A174,1,A192,A201,Good
513,A13,15,Up To Date,business,2687,A61,4 - 7 years,2,A93,A101,4,A122,26,A143,A151,1,A173,1,A192,A201,Good
514,A12,12,Late Payment,radio/television,585,A61,1 - 4 years,4,A94,A102,4,A121,20,A143,A151,2,A173,1,A191,A201,Good
515,A14,24,Up To Date,car (new),2255,A65,< 1 year,4,A93,A101,1,A122,54,A143,A152,1,A173,1,A191,A201,Good
516,A11,6,Critical Account,car (new),609,A61,4 - 7 years,4,A92,A101,3,A122,37,A143,A152,2,A173,1,A191,A202,Good
517,A11,6,Critical Account,car (new),1361,A61,< 1 year,2,A93,A101,4,A121,40,A143,A152,1,A172,2,A191,A202,Good
518,A14,36,Critical Account,furniture/equipment,7127,A61,< 1 year,2,A92,A101,4,A122,23,A143,A151,2,A173,1,A192,A201,Bad
519,A11,6,Up To Date,car (new),1203,A62,>= 7 years,3,A93,A101,2,A122,43,A143,A152,1,A173,1,A192,A201,Good
520,A14,6,Critical Account,radio/television,700,A65,>= 7 years,4,A93,A101,4,A124,36,A143,A153,2,A173,1,A191,A201,Good
521,A14,24,Critical Account,repairs,5507,A61,>= 7 years,3,A93,A101,4,A124,44,A143,A153,2,A173,1,A191,A201,Good
522,A11,18,Up To Date,radio/television,3190,A61,1 - 4 years,2,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,Bad
523,A11,48,All Paid,furniture/equipment,7119,A61,1 - 4 years,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,Bad
524,A14,24,Up To Date,car (used),3488,A62,4 - 7 years,3,A92,A101,4,A123,23,A143,A152,1,A173,1,A191,A201,Good
525,A12,18,Up To Date,radio/television,1113,A61,1 - 4 years,4,A92,A103,4,A121,26,A143,A152,1,A172,2,A191,A201,Good
526,A12,26,Up To Date,car (used),7966,A61,< 1 year,2,A93,A101,3,A123,30,A143,A152,2,A173,1,A191,A201,Good
527,A14,15,Critical Account,education,1532,A62,1 - 4 years,4,A92,A101,3,A123,31,A143,A152,1,A173,1,A191,A201,Good
528,A14,4,Critical Account,radio/television,1503,A61,4 - 7 years,2,A93,A101,1,A121,42,A143,A152,2,A172,2,A191,A201,Good
529,A11,36,Up To Date,radio/television,2302,A61,1 - 4 years,4,A91,A101,4,A123,31,A143,A151,1,A173,1,A191,A201,Bad
530,A11,6,Up To Date,car (new),662,A61,< 1 year,3,A93,A101,4,A121,41,A143,A152,1,A172,2,A192,A201,Good
531,A12,36,Up To Date,education,2273,A61,4 - 7 years,3,A93,A101,1,A123,32,A143,A152,2,A173,2,A191,A201,Good
532,A12,15,Up To Date,car (new),2631,A62,1 - 4 years,2,A92,A101,4,A123,28,A143,A151,2,A173,1,A192,A201,Bad
533,A14,12,Late Payment,car (used),1503,A61,1 - 4 years,4,A94,A101,4,A121,41,A143,A151,1,A173,1,A191,A201,Good
534,A14,24,Up To Date,radio/television,1311,A62,4 - 7 years,4,A94,A101,3,A122,26,A143,A152,1,A173,1,A192,A201,Good
535,A14,24,Up To Date,radio/television,3105,A65,< 1 year,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,Good
536,A13,21,Critical Account,education,2319,A61,< 1 year,2,A91,A101,1,A123,33,A143,A151,1,A173,1,A191,A201,Bad
537,A11,6,Up To Date,car (new),1374,A65,unemployed,4,A92,A101,3,A122,75,A143,A152,1,A174,1,A192,A201,Good
538,A12,18,Critical Account,furniture/equipment,3612,A61,>= 7 years,3,A92,A101,4,A122,37,A143,A152,1,A173,1,A192,A201,Good
539,A11,48,Up To Date,car (new),7763,A61,>= 7 years,4,A93,A101,4,A124,42,A141,A153,1,A174,1,A191,A201,Bad
540,A13,18,Up To Date,furniture/equipment,3049,A61,< 1 year,1,A92,A101,1,A122,45,A142,A152,1,A172,1,A191,A201,Good
541,A12,12,Up To Date,radio/television,1534,A61,< 1 year,1,A94,A101,1,A121,23,A143,A151,1,A173,1,A191,A201,Bad
542,A14,24,Late Payment,car (new),2032,A61,>= 7 years,4,A93,A101,4,A124,60,A143,A153,2,A173,1,A192,A201,Good
543,A11,30,Up To Date,furniture/equipment,6350,A65,>= 7 years,4,A93,A101,4,A122,31,A143,A152,1,A173,1,A191,A201,Bad
544,A13,18,Up To Date,furniture/equipment,2864,A61,1 - 4 years,2,A93,A101,1,A121,34,A143,A152,1,A172,2,A191,A201,Bad
545,A14,12,Critical Account,car (new),1255,A61,>= 7 years,4,A93,A101,4,A121,61,A143,A152,2,A172,1,A191,A201,Good
546,A11,24,Late Payment,car (new),1333,A61,unemployed,4,A93,A101,2,A121,43,A143,A153,2,A173,2,A191,A201,Bad
547,A14,24,Critical Account,car (new),2022,A61,1 - 4 years,4,A92,A101,4,A123,37,A143,A152,1,A173,1,A192,A201,Good
548,A14,24,Up To Date,radio/television,1552,A61,4 - 7 years,3,A93,A101,1,A123,32,A141,A152,1,A173,2,A191,A201,Good
549,A11,12,All Paid This Bank,radio/television,626,A61,1 - 4 years,4,A92,A101,4,A121,24,A141,A152,1,A172,1,A191,A201,Bad
550,A14,48,Critical Account,car (used),8858,A65,4 - 7 years,2,A93,A101,1,A124,35,A143,A153,2,A173,1,A192,A201,Good
551,A14,12,Critical Account,repairs,996,A65,4 - 7 years,4,A92,A101,4,A121,23,A143,A152,2,A173,1,A191,A201,Good
552,A14,6,All Paid This Bank,radio/television,1750,A63,>= 7 years,2,A93,A101,4,A122,45,A141,A152,1,A172,2,A191,A201,Good
553,A11,48,Up To Date,radio/television,6999,A61,4 - 7 years,1,A94,A103,1,A121,34,A143,A152,2,A173,1,A192,A201,Bad
554,A12,12,Critical Account,car (new),1995,A62,< 1 year,4,A93,A101,1,A123,27,A143,A152,1,A173,1,A191,A201,Good
555,A12,9,Up To Date,education,1199,A61,4 - 7 years,4,A92,A101,4,A122,67,A143,A152,2,A174,1,A192,A201,Good
556,A12,12,Up To Date,radio/television,1331,A61,< 1 year,2,A93,A101,1,A123,22,A142,A152,1,A173,1,A191,A201,Bad
557,A12,18,All Paid,car (new),2278,A62,< 1 year,3,A92,A101,3,A123,28,A143,A152,2,A173,1,A191,A201,Bad
558,A14,21,All Paid,car (new),5003,A65,1 - 4 years,1,A92,A101,4,A122,29,A141,A152,2,A173,1,A192,A201,Bad
559,A11,24,All Paid This Bank,furniture/equipment,3552,A61,4 - 7 years,3,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,Bad
560,A12,18,Critical Account,furniture/equipment,1928,A61,< 1 year,2,A93,A101,2,A121,31,A143,A152,2,A172,1,A191,A201,Bad
561,A11,24,Up To Date,car (used),2964,A65,>= 7 years,4,A93,A101,4,A124,49,A141,A153,1,A173,2,A192,A201,Good
562,A11,24,All Paid This Bank,radio/television,1546,A61,4 - 7 years,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,Bad
563,A13,6,Late Payment,radio/television,683,A61,< 1 year,2,A92,A101,1,A122,29,A141,A152,1,A173,1,A191,A201,Good
564,A12,36,Up To Date,car (new),12389,A65,1 - 4 years,1,A93,A101,4,A124,37,A143,A153,1,A173,1,A192,A201,Bad
565,A12,24,Late Payment,business,4712,A65,1 - 4 years,4,A93,A101,2,A122,37,A141,A152,2,A174,1,A192,A201,Good
566,A12,24,Late Payment,radio/television,1553,A62,4 - 7 years,3,A92,A101,2,A122,23,A143,A151,2,A173,1,A192,A201,Good
567,A11,12,Up To Date,car (new),1372,A61,4 - 7 years,2,A91,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,Bad
568,A14,24,Critical Account,radio/television,2578,A64,>= 7 years,2,A93,A101,2,A123,34,A143,A152,1,A173,1,A191,A201,Good
569,A12,48,Up To Date,radio/television,3979,A65,4 - 7 years,4,A93,A101,1,A123,41,A143,A152,2,A173,2,A192,A201,Good
570,A11,48,Up To Date,radio/television,6758,A61,1 - 4 years,3,A92,A101,2,A123,31,A143,A152,1,A173,1,A192,A201,Bad
571,A11,24,Up To Date,furniture/equipment,3234,A61,< 1 year,4,A92,A101,4,A121,23,A143,A151,1,A172,1,A192,A201,Bad
572,A14,30,Critical Account,radio/television,5954,A61,4 - 7 years,3,A93,A102,2,A123,38,A143,A152,1,A173,1,A191,A201,Good
573,A14,24,Up To Date,car (used),5433,A65,unemployed,2,A92,A101,4,A122,26,A143,A151,1,A174,1,A192,A201,Good
574,A11,15,Up To Date,business,806,A61,1 - 4 years,4,A92,A101,4,A122,22,A143,A152,1,A172,1,A191,A201,Good
575,A12,9,Up To Date,radio/television,1082,A61,>= 7 years,4,A93,A101,4,A123,27,A143,A152,2,A172,1,A191,A201,Good
576,A14,15,Critical Account,furniture/equipment,2788,A61,4 - 7 years,2,A92,A102,3,A123,24,A141,A152,2,A173,1,A191,A201,Good
577,A12,12,Up To Date,radio/television,2930,A61,4 - 7 years,2,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,Good
578,A14,24,Critical Account,education,1927,A65,1 - 4 years,3,A92,A101,2,A123,33,A143,A152,2,A173,1,A192,A201,Good
579,A12,36,Critical Account,car (new),2820,A61,< 1 year,4,A91,A101,4,A123,27,A143,A152,2,A173,1,A191,A201,Bad
580,A14,24,Up To Date,retraining,937,A61,< 1 year,4,A94,A101,3,A123,27,A143,A152,2,A172,1,A191,A201,Good
581,A12,18,Critical Account,car (new),1056,A61,>= 7 years,3,A93,A103,3,A121,30,A141,A152,2,A173,1,A191,A201,Bad
582,A12,12,Critical Account,car (new),3124,A61,< 1 year,1,A93,A101,3,A121,49,A141,A152,2,A172,2,A191,A201,Good
583,A14,9,Up To Date,furniture/equipment,1388,A61,1 - 4 years,4,A92,A101,2,A121,26,A143,A151,1,A173,1,A191,A201,Good
584,A12,36,Up To Date,repairs,2384,A61,< 1 year,4,A93,A101,1,A124,33,A143,A151,1,A172,1,A191,A201,Bad
585,A14,12,Up To Date,car (new),2133,A65,>= 7 years,4,A92,A101,4,A124,52,A143,A153,1,A174,1,A192,A201,Good
586,A11,18,Up To Date,furniture/equipment,2039,A61,1 - 4 years,1,A92,A101,4,A121,20,A141,A151,1,A173,1,A191,A201,Bad
587,A11,9,Critical Account,car (new),2799,A61,1 - 4 years,2,A93,A101,2,A121,36,A143,A151,2,A173,2,A191,A201,Good
588,A11,12,Up To Date,furniture/equipment,1289,A61,1 - 4 years,4,A93,A103,1,A122,21,A143,A152,1,A172,1,A191,A201,Good
589,A11,18,Up To Date,domestic appliances,1217,A61,1 - 4 years,4,A94,A101,3,A121,47,A143,A152,1,A172,1,A192,A201,Bad
590,A11,12,Critical Account,furniture/equipment,2246,A61,>= 7 years,3,A93,A101,3,A122,60,A143,A152,2,A173,1,A191,A201,Bad
591,A11,12,Critical Account,radio/television,385,A61,4 - 7 years,4,A92,A101,3,A121,58,A143,A152,4,A172,1,A192,A201,Good
592,A12,24,Late Payment,car (new),1965,A65,1 - 4 years,4,A92,A101,4,A123,42,A143,A151,2,A173,1,A192,A201,Good
593,A14,21,Up To Date,business,1572,A64,>= 7 years,4,A92,A101,4,A121,36,A141,A152,1,A172,1,A191,A201,Good
594,A12,24,Up To Date,car (new),2718,A61,1 - 4 years,3,A92,A101,4,A122,20,A143,A151,1,A172,1,A192,A201,Bad
595,A11,24,All Paid This Bank,others,1358,A65,>= 7 years,4,A93,A101,3,A123,40,A142,A152,1,A174,1,A192,A201,Bad
596,A12,6,All Paid This Bank,car (new),931,A62,< 1 year,1,A92,A101,1,A122,32,A142,A152,1,A172,1,A191,A201,Bad
597,A11,24,Up To Date,car (new),1442,A61,4 - 7 years,4,A92,A101,4,A123,23,A143,A151,2,A173,1,A191,A201,Bad
598,A12,24,All Paid,business,4241,A61,1 - 4 years,1,A93,A101,4,A121,36,A143,A152,3,A172,1,A192,A201,Bad
599,A14,18,Critical Account,car (new),2775,A61,4 - 7 years,2,A93,A101,2,A122,31,A141,A152,2,A173,1,A191,A201,Bad
600,A14,24,Late Payment,business,3863,A61,1 - 4 years,1,A93,A101,2,A124,32,A143,A153,1,A173,1,A191,A201,Good
601,A12,7,Up To Date,radio/television,2329,A61,< 1 year,1,A92,A103,1,A121,45,A143,A152,1,A173,1,A191,A201,Good
602,A12,9,Up To Date,furniture/equipment,918,A61,1 - 4 years,4,A92,A101,1,A122,30,A143,A152,1,A173,1,A191,A201,Bad
603,A12,24,All Paid This Bank,education,1837,A61,4 - 7 years,4,A92,A101,4,A124,34,A141,A153,1,A172,1,A191,A201,Bad
604,A14,36,Up To Date,furniture/equipment,3349,A61,1 - 4 years,4,A92,A101,2,A123,28,A143,A152,1,A174,1,A192,A201,Bad
605,A13,10,Up To Date,furniture/equipment,1275,A61,< 1 year,4,A92,A101,2,A122,23,A143,A152,1,A173,1,A191,A201,Good
606,A11,24,All Paid This Bank,furniture/equipment,2828,A63,1 - 4 years,4,A93,A101,4,A121,22,A142,A152,1,A173,1,A192,A201,Good
607,A14,24,Critical Account,business,4526,A61,1 - 4 years,3,A93,A101,2,A121,74,A143,A152,1,A174,1,A192,A201,Good
